id,mathematics_interest,physics_interest,chemistry_interest,biology_interest,computer_interest,accountancy_interest,economics_interest,business_interest,history_political_science_interest,psychology_interest,logical_reasoning,numerical_ability,scientific_interest,problem_solving,communication,leadership,creativity,empathy,research_interest,public_speaking,technology_interest,medical_healthcare_interest,business_finance_interest,social_issues_interest,government_public_service_interest,law_debate_interest,teaching_interest,long_study_willingness,stress_tolerance,risk_tolerance,teamwork,people_interaction,career_choice
58,5,1,1,3,5,7,4,5,4,2,5,8,1,9,5,5,3,2,3,7,7,1,9,2,5,1,3,6,8,4,3,5,CA / Accounting
59,9,2,1,1,6,6,6,9,4,3,10,9,3,8,6,6,6,7,4,5,5,3,10,4,3,3,5,6,6,7,6,8,Finance / Banking
60,5,3,3,1,3,4,3,2,8,5,7,5,5,8,9,7,4,8,5,7,3,1,4,8,9,4,5,9,5,2,7,5,Civil Services
61,9,8,7,5,10,4,4,5,3,3,6,7,8,8,4,3,10,5,5,5,10,4,1,8,1,3,3,6,7,3,7,7,Engineering
62,3,7,6,7,5,2,4,5,6,9,8,8,7,10,9,8,8,10,7,6,5,8,4,10,2,5,9,5,7,4,8,8,Psychology
63,1,5,6,8,3,1,2,1,2,6,5,3,8,8,8,6,6,7,5,6,4,8,1,7,7,2,7,9,7,5,5,7,MBBS / Doctor
64,1,2,2,3,7,9,3,9,4,5,7,6,3,8,8,9,8,5,8,7,8,2,7,5,1,3,3,5,5,8,10,8,Business / Management
65,9,3,2,3,5,9,6,7,4,3,6,6,2,6,5,5,7,3,2,4,5,4,10,5,4,5,3,8,6,3,7,6,CA / Accounting
66,1,3,9,5,5,4,1,2,4,4,8,5,6,5,8,2,4,4,4,4,3,9,3,4,1,2,6,6,6,2,6,4,Pharmacy
67,9,6,6,2,10,3,4,4,3,3,7,10,6,5,4,7,7,5,8,4,9,2,5,4,3,5,6,6,6,9,8,5,Engineering
68,6,1,1,1,9,10,5,7,1,4,7,8,4,7,7,6,3,2,4,3,5,1,8,5,1,1,4,3,4,9,7,10,Finance / Banking
69,5,5,9,10,3,1,1,3,1,5,7,4,9,7,6,9,5,8,8,7,5,10,2,6,3,3,7,9,7,2,8,8,MBBS / Doctor
70,6,2,2,4,4,3,4,3,5,10,4,3,5,6,9,5,5,8,8,7,4,5,2,8,5,4,4,10,7,3,6,10,Psychology
71,5,4,7,10,5,2,3,3,5,5,7,6,9,6,7,6,5,7,8,6,3,7,4,5,4,5,6,7,6,5,10,9,MBBS / Doctor
72,4,4,9,10,7,1,3,4,6,7,7,5,9,9,10,9,7,7,5,4,6,8,3,6,5,5,6,7,7,6,10,10,MBBS / Doctor
73,6,3,3,8,4,3,7,6,7,5,7,4,7,8,7,10,8,7,10,8,5,3,4,8,4,5,8,8,7,5,7,8,Teaching / Professor
74,10,3,1,3,8,7,10,6,1,6,7,7,5,7,6,5,4,4,5,4,7,2,9,3,3,4,2,10,3,5,7,7,Finance / Banking
75,5,4,8,7,4,4,4,3,4,5,10,7,8,8,9,5,5,8,6,7,5,9,3,8,5,7,6,9,10,8,8,10,MBBS / Doctor
76,8,5,3,10,4,1,1,3,2,7,4,4,10,9,7,6,10,5,8,7,5,9,6,7,2,1,7,5,9,2,7,8,Dentist
77,2,4,4,5,4,1,6,7,7,5,5,6,3,6,8,8,9,6,6,8,6,4,4,9,6,9,7,7,7,7,10,10,Journalism / Media
78,4,5,1,1,4,5,8,9,2,4,5,6,3,5,8,10,7,6,2,3,4,2,6,5,3,6,6,5,5,5,10,6,Business / Management
79,3,5,3,2,4,4,6,7,8,5,8,3,5,7,10,5,7,8,7,7,9,4,5,10,7,5,5,4,8,9,7,10,Journalism / Media
80,4,3,6,6,4,2,1,3,1,6,8,5,9,9,6,3,5,5,8,1,1,8,3,4,1,1,3,4,4,4,5,4,Pharmacy
81,2,1,2,1,6,3,6,5,9,6,7,5,4,7,9,5,6,5,8,7,4,4,5,6,7,10,5,10,8,8,8,10,Law
82,7,7,5,3,8,1,2,3,5,6,9,5,6,8,6,6,5,5,7,6,7,2,1,3,3,2,5,6,3,6,5,6,Engineering
83,8,5,2,6,6,4,4,5,9,6,9,5,3,9,8,9,4,6,4,6,7,3,3,9,10,7,5,8,8,3,9,8,Civil Services
84,8,3,1,4,6,10,8,6,3,4,8,9,2,6,8,7,3,5,6,5,5,1,9,7,3,5,3,9,7,5,6,5,Finance / Banking
85,3,6,7,7,2,3,4,4,4,4,9,5,8,8,7,6,4,5,6,4,5,9,2,5,2,3,6,6,7,5,5,7,Dentist
86,6,3,2,4,5,2,8,6,9,6,9,4,5,10,6,7,8,7,5,8,7,1,5,8,6,9,6,9,8,7,7,10,Law
87,7,4,3,3,4,10,7,7,3,4,6,9,4,9,5,8,3,4,4,5,5,1,10,2,4,2,5,5,6,2,4,5,CA / Accounting
88,5,1,2,1,4,8,6,4,1,7,7,10,2,6,5,6,4,1,2,1,5,1,9,2,2,6,4,8,8,1,6,7,CA / Accounting
89,8,1,4,5,4,4,4,3,4,10,10,4,6,5,9,6,8,9,7,6,2,8,3,6,4,2,5,6,7,3,8,9,Psychology
90,4,6,2,6,3,3,4,5,2,7,7,5,7,8,7,7,8,5,8,10,6,3,1,4,4,6,10,8,5,3,9,6,Teaching / Professor
91,3,2,4,3,5,4,6,4,10,4,9,5,5,9,8,9,3,9,5,10,6,3,3,7,10,8,7,10,9,6,7,7,Civil Services
92,7,7,7,5,9,3,5,8,4,4,10,9,10,9,8,9,7,5,9,7,8,3,1,6,5,5,4,6,7,7,8,8,Engineering
93,5,1,1,1,2,9,5,6,3,7,6,8,2,5,5,6,4,4,2,3,3,1,10,3,4,5,3,9,6,1,6,6,CA / Accounting
94,4,4,8,10,7,4,3,6,2,5,6,4,9,8,10,7,9,9,4,4,6,8,3,6,2,3,9,10,10,5,5,9,Dentist
95,2,3,2,3,2,1,3,4,5,10,6,4,3,9,8,4,3,9,8,7,4,7,2,9,4,2,8,7,4,2,7,8,Psychology
96,9,5,6,8,7,6,9,10,5,6,10,6,7,9,10,8,7,8,4,8,10,1,8,7,5,4,5,5,8,8,8,10,Business / Management
97,1,3,5,3,1,7,8,4,10,6,6,6,3,8,9,8,8,5,2,8,6,1,5,8,6,10,5,8,8,6,5,10,Law
98,6,6,4,2,4,3,6,5,8,7,4,2,2,5,10,5,9,7,6,8,5,4,3,8,5,8,7,5,7,6,7,9,Journalism / Media
99,7,8,3,1,9,2,4,2,3,4,9,6,9,7,5,8,7,4,6,7,10,2,4,4,2,4,5,8,8,6,7,7,Engineering
100,5,3,3,2,3,3,5,4,8,4,5,5,4,9,7,10,10,8,4,7,2,1,5,8,10,10,4,9,7,4,10,7,Civil Services
101,5,4,4,7,3,4,2,3,4,10,6,3,3,7,9,2,7,8,6,6,5,6,2,7,5,6,8,8,5,3,8,8,Psychology
102,2,5,4,1,7,2,4,5,7,8,5,5,3,7,9,6,8,5,9,8,7,2,1,8,4,8,5,4,6,7,8,10,Journalism / Media
103,5,3,5,6,1,1,3,1,3,4,8,8,10,6,7,6,10,9,5,4,3,8,4,2,2,1,5,8,7,6,7,9,Dentist
104,5,3,2,5,5,9,10,9,2,7,10,4,8,6,6,10,10,6,6,9,9,2,6,7,5,6,4,7,6,9,9,9,Business / Management
105,6,3,4,1,8,10,9,6,3,3,8,10,1,10,6,8,5,5,6,4,5,1,10,7,4,7,6,7,9,4,9,7,CA / Accounting
106,7,4,5,4,9,3,7,7,2,4,9,6,4,9,8,10,9,7,4,9,5,3,9,5,4,8,7,6,6,5,10,10,Business / Management
107,1,1,3,1,6,1,4,5,8,3,8,1,6,9,9,6,6,6,5,8,6,1,5,6,4,9,5,5,8,3,3,7,Law
108,6,1,3,3,5,3,6,9,5,7,10,7,4,10,6,6,7,7,5,6,6,1,6,7,4,8,4,7,8,10,9,10,Business / Management
109,7,8,8,8,7,6,1,4,1,6,7,4,6,6,7,9,10,10,1,5,9,8,3,4,3,3,7,7,8,2,6,8,Dentist
110,6,3,1,1,5,7,8,8,3,2,7,9,3,5,3,6,4,4,4,3,5,1,10,3,3,5,4,8,6,2,6,5,CA / Accounting
111,8,8,5,6,5,3,4,5,8,8,9,6,7,8,6,6,6,7,7,9,5,1,4,6,5,3,10,7,4,3,5,7,Teaching / Professor
112,5,3,7,10,2,1,5,4,1,4,6,5,6,8,8,6,8,8,5,5,4,6,3,4,3,3,3,9,10,3,6,10,Dentist
113,2,1,2,4,6,5,6,5,8,5,9,4,3,9,7,9,5,7,5,10,5,3,4,8,6,7,5,9,7,3,7,8,Law
114,5,6,3,5,6,1,5,6,3,4,9,8,7,7,6,3,6,6,8,5,5,1,2,3,1,3,7,7,7,4,4,3,Engineering
115,1,1,2,2,7,1,3,5,5,6,7,5,3,10,7,7,10,8,8,7,7,2,2,10,5,7,4,6,7,8,9,10,Journalism / Media
116,3,1,5,2,3,2,7,3,6,5,9,5,1,7,9,6,5,7,8,7,4,1,5,10,6,9,5,7,3,3,9,10,Law
117,4,6,7,10,3,1,3,3,2,6,6,5,5,7,7,6,6,7,7,5,6,6,1,6,3,1,6,8,8,5,7,9,MBBS / Doctor
118,5,9,8,5,8,5,4,3,3,3,7,9,6,8,4,6,5,3,6,6,9,4,4,4,5,3,6,9,6,5,6,4,Engineering
119,4,7,6,6,5,6,3,3,4,9,7,4,10,9,9,6,5,10,8,7,6,10,4,5,6,3,9,10,8,5,9,8,MBBS / Doctor
120,4,4,6,4,5,5,7,6,9,6,6,7,6,10,7,10,5,6,5,9,6,5,5,9,10,9,6,9,10,5,6,8,Civil Services
121,7,3,2,2,6,8,6,9,4,4,6,10,2,9,6,7,3,5,5,5,9,3,10,2,7,6,4,8,10,8,6,7,Finance / Banking
122,1,2,4,5,3,1,1,3,7,10,8,5,7,9,7,8,5,8,8,6,3,5,4,10,3,3,10,9,5,5,9,10,Psychology
123,2,6,8,8,2,2,4,6,1,7,7,3,7,9,6,5,5,6,5,5,4,8,2,3,1,1,6,9,10,3,7,8,Dentist
124,2,1,2,3,3,1,2,2,2,7,5,3,7,7,7,5,6,9,5,5,1,5,1,8,3,6,7,9,7,1,8,9,Psychology
125,5,3,6,2,3,1,9,6,10,3,9,5,3,8,9,4,7,8,5,10,4,1,6,10,9,8,9,8,6,3,4,5,Civil Services
126,2,7,6,9,3,3,3,4,4,5,6,3,9,6,5,5,6,6,4,5,4,10,2,5,2,2,9,8,8,6,7,6,Dentist
127,3,4,2,6,6,1,5,6,5,9,6,2,8,6,9,7,6,8,8,8,4,4,2,9,4,2,9,7,6,1,7,7,Psychology
128,2,3,2,1,7,5,9,7,2,6,5,5,5,7,7,6,9,5,5,7,8,2,6,3,3,5,3,6,9,7,6,7,Business / Management
129,7,6,3,4,5,1,4,3,4,5,9,9,9,8,6,7,7,4,6,4,9,3,3,3,2,5,5,6,8,5,5,7,Engineering
130,8,1,1,1,5,9,6,9,5,1,6,9,3,6,7,4,4,3,4,3,6,1,9,3,6,4,4,9,7,5,4,6,CA / Accounting
131,6,5,7,7,4,3,5,1,6,5,6,8,7,7,7,8,5,7,8,8,5,2,5,4,5,4,7,8,6,1,9,8,Teaching / Professor
132,6,3,7,8,5,1,2,4,5,8,7,4,7,4,8,6,8,7,7,7,6,4,2,7,3,4,10,8,6,4,3,7,Teaching / Professor
133,7,5,4,3,8,6,10,10,5,5,7,9,5,9,6,7,5,5,7,5,7,2,9,4,6,5,7,6,10,7,8,7,Finance / Banking
134,8,7,6,6,9,4,7,5,4,6,10,9,5,7,6,7,7,7,8,7,10,2,5,4,2,4,7,8,10,7,10,6,Engineering
135,4,2,3,1,6,1,5,3,6,5,9,5,2,7,10,5,9,8,7,9,4,3,1,5,2,10,3,6,9,7,8,9,Journalism / Media
136,4,4,2,3,7,5,5,2,8,6,10,7,5,8,8,10,4,8,5,6,6,4,5,8,10,6,6,7,7,4,7,8,Civil Services
137,3,3,1,3,2,4,3,5,7,5,10,3,3,6,10,7,5,8,7,8,4,2,6,9,2,8,5,6,6,6,9,8,Law
138,3,3,10,9,5,3,3,4,2,3,6,3,8,8,6,4,2,4,10,3,3,8,3,3,3,1,7,7,6,3,8,5,Pharmacy
139,3,6,7,7,4,2,1,6,3,4,7,6,8,9,6,3,3,5,5,2,4,10,5,4,2,4,5,8,7,5,6,6,Pharmacy
140,9,7,6,6,7,4,8,3,6,8,9,8,9,9,3,7,9,7,6,5,10,4,2,7,4,6,4,8,8,7,6,3,Engineering
141,6,3,8,6,5,3,2,5,6,9,7,5,6,9,9,9,9,10,5,7,4,10,2,10,6,4,8,9,7,5,9,10,Psychology
142,6,3,6,6,5,2,5,2,4,7,7,6,5,7,7,7,5,9,9,7,5,4,1,5,6,4,9,6,7,5,8,10,Teaching / Professor
143,5,1,3,2,3,10,7,5,4,4,8,9,1,5,5,2,4,3,4,6,4,1,7,5,2,7,2,8,8,5,4,4,CA / Accounting
144,3,1,1,2,7,2,4,5,7,5,5,1,1,7,10,7,9,8,5,7,4,1,3,8,6,8,5,5,7,6,9,9,Journalism / Media
145,2,4,4,7,4,1,6,4,3,8,5,4,9,6,8,7,6,10,7,5,3,9,1,4,3,4,5,9,6,2,7,8,MBBS / Doctor
146,1,1,3,4,5,3,2,3,8,6,6,5,3,3,10,6,8,7,4,10,5,2,3,8,3,5,4,5,6,6,6,10,Journalism / Media
147,5,4,9,10,9,2,3,4,6,7,9,7,7,9,7,7,6,10,7,6,9,9,4,7,6,3,6,10,10,5,7,9,MBBS / Doctor
148,2,1,5,1,4,3,3,3,5,9,6,3,4,4,8,5,7,9,2,9,4,1,4,7,4,6,3,4,6,6,7,7,Journalism / Media
149,5,4,1,3,2,8,5,4,5,4,7,8,1,6,4,4,3,5,4,4,4,2,5,2,2,4,3,7,7,4,8,4,CA / Accounting
150,4,4,5,8,4,3,4,3,2,6,7,3,6,9,7,4,7,7,2,7,3,10,2,4,2,1,4,9,9,4,6,6,Dentist
151,3,3,9,4,5,1,2,4,4,4,6,3,6,7,6,5,5,4,7,2,3,6,1,1,1,3,2,6,5,3,6,5,Pharmacy
152,6,9,7,5,10,2,9,4,4,4,8,9,7,10,6,6,6,5,6,4,7,7,3,2,3,4,6,8,8,5,7,4,Engineering
153,2,3,3,7,5,4,4,5,10,6,8,7,4,7,7,9,10,7,7,6,5,4,6,10,3,10,4,5,7,6,10,9,Journalism / Media
154,9,4,6,4,6,7,10,6,2,3,7,9,4,9,5,5,6,4,3,3,7,2,9,6,5,4,6,8,6,8,10,10,Finance / Banking
155,4,3,4,5,2,3,4,6,6,10,7,3,5,7,10,4,7,8,8,5,5,7,2,7,4,4,6,8,8,4,8,9,Psychology
156,1,1,4,4,6,2,3,3,8,4,7,4,3,6,9,5,9,7,9,10,5,4,2,10,5,10,5,5,5,8,8,8,Journalism / Media
157,4,4,1,5,5,1,5,4,7,7,8,1,4,6,10,9,9,7,8,10,7,1,1,9,3,4,6,1,6,5,5,6,Journalism / Media
158,3,2,2,4,1,2,5,6,7,3,8,3,1,8,8,7,9,7,6,10,7,4,4,8,7,6,3,8,7,6,8,7,Law
159,6,3,4,5,8,7,9,9,2,6,8,8,4,7,7,8,6,6,5,7,7,2,7,5,5,5,10,6,9,8,8,10,Business / Management
160,5,2,1,3,9,5,9,7,4,7,5,6,3,9,9,10,9,6,6,6,8,1,6,8,5,6,4,4,7,8,10,10,Business / Management
161,7,6,8,5,6,2,4,4,2,4,9,5,5,7,4,8,8,5,5,4,6,4,4,5,3,3,4,7,4,7,6,4,Engineering
162,4,5,2,1,6,5,3,4,9,8,6,3,3,8,10,6,10,9,7,8,7,2,7,9,6,9,6,6,6,6,10,6,Journalism / Media
163,3,2,4,1,3,8,6,8,2,3,6,9,4,6,7,5,2,5,3,5,6,2,7,2,3,2,2,6,5,3,5,4,CA / Accounting
164,6,2,2,4,6,10,7,6,1,3,6,8,3,5,7,6,4,4,1,3,3,1,7,2,3,3,4,8,10,2,6,5,CA / Accounting
165,8,9,5,4,8,1,5,4,4,5,10,7,7,8,5,5,7,6,7,4,10,5,3,7,5,4,6,7,8,7,7,3,Engineering
166,1,3,5,6,7,1,3,4,5,6,6,6,8,6,8,7,7,10,7,9,4,3,1,6,2,5,10,9,6,6,6,10,Teaching / Professor
167,10,10,10,7,10,4,5,5,4,5,9,7,5,9,5,5,7,5,8,5,10,4,4,5,2,5,6,9,5,4,7,8,Engineering
168,6,2,2,3,5,1,2,4,8,4,6,2,5,7,9,7,7,5,2,8,4,3,4,9,4,7,4,4,5,4,7,8,Journalism / Media
169,5,6,4,3,5,5,8,2,9,7,8,10,6,10,7,7,6,6,7,7,3,5,5,9,9,9,7,10,8,5,8,7,Civil Services
170,5,4,2,3,6,4,3,4,8,6,8,5,4,9,10,6,7,7,7,9,4,3,5,8,9,9,6,5,6,5,7,10,Law
171,7,5,9,6,4,3,6,6,7,7,8,7,7,6,8,6,6,7,9,9,7,7,5,8,3,7,10,10,5,6,7,7,Teaching / Professor
172,7,2,5,5,4,3,5,3,8,3,7,3,6,7,10,6,7,4,9,9,6,4,2,5,3,4,9,10,6,4,7,8,Teaching / Professor
173,3,1,7,2,4,3,4,4,10,3,7,3,3,10,6,7,4,5,6,8,1,1,5,8,5,8,4,9,8,8,9,8,Law
174,5,5,10,9,3,2,1,3,3,4,6,5,9,8,6,4,3,4,6,3,6,8,1,4,3,3,7,10,7,3,7,1,Pharmacy
175,5,1,3,4,4,10,9,7,5,3,6,8,4,9,4,4,3,1,3,4,1,2,10,5,5,5,6,9,7,6,4,7,CA / Accounting
176,4,4,7,8,7,1,5,2,3,6,8,6,9,7,10,7,1,7,5,4,6,9,1,7,2,1,4,9,8,3,7,7,MBBS / Doctor
177,4,5,7,9,5,3,2,3,5,5,7,5,8,9,8,4,6,7,4,6,3,8,3,5,3,2,5,7,8,3,6,7,MBBS / Doctor
178,3,2,3,2,5,3,3,5,6,10,7,2,5,6,6,6,7,9,4,3,3,5,1,6,3,4,7,6,5,1,5,7,Psychology
179,4,3,1,5,7,6,7,5,4,4,7,7,3,10,6,8,5,6,6,4,8,4,9,4,5,6,2,5,9,6,9,6,Finance / Banking
180,3,2,8,10,6,3,4,4,2,5,8,6,8,7,8,6,5,8,5,7,5,10,3,7,5,4,7,10,8,5,8,5,MBBS / Doctor
181,8,1,2,2,5,8,7,7,1,2,9,6,4,7,3,5,6,7,7,3,8,1,8,5,4,4,1,5,5,7,8,9,Finance / Banking
182,6,5,4,4,4,3,5,5,10,10,7,6,3,9,10,5,6,6,7,8,5,5,4,7,6,10,5,8,7,6,10,10,Law
183,10,6,2,6,10,2,2,4,3,4,6,8,8,6,7,9,7,4,6,6,6,4,3,7,4,6,3,8,7,5,7,8,Engineering
184,4,5,3,6,8,6,5,4,6,6,9,4,6,7,7,7,9,8,6,7,4,3,2,6,3,3,6,9,4,4,7,8,Teaching / Professor
185,6,4,3,4,7,5,4,10,5,5,4,6,3,6,8,8,7,7,5,6,6,2,7,6,2,7,6,2,8,9,9,8,Business / Management
186,2,4,4,4,5,2,5,4,9,7,7,6,5,8,9,8,8,7,9,8,5,3,4,7,7,6,7,10,10,5,7,8,Civil Services
